ticket_id,client_name,client_sector,ticket_subject,ticket_description,module,component,urgency_signals,previous_classification,correct_ticket_type,correct_priority,correct_target_team,preferred_resolver
SIS-2026-0032,AlfaForms,forms and labels,Erro ao descarregar mapa para Excel,"Não é crítico para a operação minuto a minuto, mas o cliente usa este ficheiro em reunião com direção e o erro já foi reproduzido várias vezes. Há referência a outro ticket antigo, mas sem número. Se possível, manter com Ana Martins porque já conhece o contexto do cliente. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",reporting,excel_export,precisamos ainda hoje,client_misunderstanding / medium / support_level_1,software_bug,high,development,Ana Martins
SIS-2026-0033,TextilMinho,textile,Need help with credit note process,"Há ansiedade porque envolve faturação, mas o fluxo esperado continua disponível e parece ser questão de procedimento. A equipa insiste que o problema é novo, mas não quantifica bem quando começou. Se possível, manter com Carla Sousa porque já conhece o contexto do cliente. O cliente pediu retorno curto mesmo que ainda não haja solução final. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",invoicing,credit_notes,afeta uma equipa; parcialmente parado,training_needed / medium / training_consulting,client_misunderstanding,medium,support_level_1,Carla Sousa
SIS-2026-0034,EuroPackaging PT,packaging,Linha não consegue terminar OF,"No chão de fábrica conseguem apontar tempos mas a ordem fica presa quando tentam fechar o consumo real. O pedido entrou com pouco contexto e alguma pressa. O texto original mistura português com inglês e foi limpo apenas o mínimo para ficar legível. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",production,work_orders,fecho do mês,,software_bug,high,development,Helena Rocha
SIS-2026-0035,ValeFlex,printing,Pedido de formação sobre validação fiscal,"Não existe bloqueio atual, mas houve erros operacionais recentes e querem reduzir risco humano. A equipa insiste que o problema é novo, mas não quantifica bem quando começou. O texto original mistura português com inglês e foi limpo apenas o mínimo para ficar legível. O cliente pediu retorno curto mesmo que ainda não haja solução final. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",invoicing,tax_validation,precisamos ainda hoje,configuration_request / medium / technical_support,training_needed,high,training_consulting,
SIS-2026-0036,GrafiNorte SA,printing,Totais do diário diferentes entre ecrãs,"A contabilidade encontra o documento na origem mas os lançamentos associados não aparecem no diário final. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",accounting,journal_entries,precisamos esta semana; sem urgência,software_bug / high / development,data_issue,medium,technical_support,Rui Costa
SIS-2026-0037,PlastiCentro,plastics,Integração fica intermitente durante o dia,"Ainda não sabemos se o problema está no nosso lado, no certificado ou no parceiro. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",integrations,api,precisamos esta semana; pode esperar,technical issue / high / infrastructure,infrastructure_problem,medium,infrastructure,
SIS-2026-0038,AlfaForms,forms and labels,Precisa análise - Dados contabilísticos inconsistentes,"A contabilidade encontra o documento na origem mas os lançamentos associados não aparecem no diário final. Há alguma sensibilidade comercial, mas sem dramatização no pedido. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",accounting,journal_entries,afeta uma equipa; parcialmente parado,data_issue / medium / technical_support,data_issue,medium,technical_support,
SIS-2026-0039,MetalLabel,industrial manufacturing,KPI de margem não coincide com detalhe,"Pode ser atraso de atualização, transformação do dado ou erro humano no filtro; ainda não está claro. Pode ser necessário validar em ambiente real e não só em teste. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",reporting,kpi_analysis,fecho do mês,,data_issue,high,technical_support,Joao Pereira
SIS-2026-0040,Braga Print House,printing,Adicionar etapa nova ao funil comercial,"A equipa comercial quer separar pré-orçamento de proposta formal e hoje isso está tudo na mesma etapa. O pedido entrou com pouco contexto e alguma pressa. Se possível, manter com Helena Rocha porque já conhece o contexto do cliente. No ticket interno alguém escreveu “talvez seja processo”, mas sem certeza. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",CRM,commercial_pipeline,há workaround parcial,client_misunderstanding / medium / support_level_1,configuration_request,medium,technical_support,Helena Rocha
SIS-2026-0041,Cartonagem Douro,packaging,System is slow across multiple screens,"O sistema abre, mas quase todos os ecrãs demoram demasiado tempo e alguns acabam por falhar. Existe suspeita de configuração, embora nada conclusivo. Se possível, manter com Miguel Santos porque já conhece o contexto do cliente. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",general,performance,há workaround parcial,software_bug / high / development,infrastructure_problem,medium,infrastructure,Miguel Santos
SIS-2026-0042,GrafiNorte SA,printing,Pedido de formação sobre validação fiscal,"Por envolver faturação, às vezes estes tickets soam mais urgentes do que realmente são. A equipa insiste que o problema é novo, mas não quantifica bem quando começou. O cliente pediu retorno curto mesmo que ainda não haja solução final. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",invoicing,tax_validation,há workaround parcial,training_needed / low / training_consulting,training_needed,medium,training_consulting,
SIS-2026-0043,PlastiCentro,plastics,Ajustar regra EDI para novo cliente,"Entrou um parceiro novo e o ficheiro precisa de levar um identificador adicional antes de seguir para o destino. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",integrations,edi,precisamos esta semana; melhoria para analisar,client_misunderstanding / medium / support_level_1,configuration_request,medium,technical_support,Carla Sousa
SIS-2026-0044,GrafiNorte SA,printing,Aprovação desaparece depois de validar,"O diretor aprova o pedido e segundos depois o documento regressa ao estado pendente, como se a ação não tivesse ficado persistida. Ainda não anexaram prints, mas podem enviar. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",user_permissions,approvals,cliente à espera,configuration_request / medium / technical_support,software_bug,high,development,
SIS-2026-0045,PrintWorks Porto,printing,Dúvida no dashboard comercial,"Ainda assim, a descrição não é cristalina e vale validar antes de assumir erro do cliente. Existe suspeita de configuração, embora nada conclusivo. Se possível, manter com Rui Costa porque já conhece o contexto do cliente. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",reporting,dashboards,afeta uma equipa; sem bloqueio operacional,,client_misunderstanding,medium,support_level_1,Rui Costa
SIS-2026-0046,GrafiNorte SA,printing,Adicionar aviso visual no shop floor,"Hoje conseguem trabalhar sem isso, mas a melhoria pouparia erros manuais e retrabalho. Há alguma sensibilidade comercial, mas sem dramatização no pedido. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",production,shop_floor,impacto moderado,configuration_request / medium / technical_support,feature_request,medium,technical_support,
SIS-2026-0047,TecnoRolo Iberia,industrial manufacturing,Pedido de parametrização no cálculo de custos,"Pode tocar financeiramente o negócio, portanto convém tratar com cuidado mesmo sem ser crítico. Existe suspeita de configuração, embora nada conclusivo. O texto original mistura português com inglês e foi limpo apenas o mínimo para ficar legível. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",production,cost_calculation,fecho do mês,,configuration_request,high,technical_support,Rui Costa
SIS-2026-0048,GrafiNorte SA,printing,Saldo do armazém não bate com histórico,"O cliente já tentou validar filtros e datas; o problema parece estar mesmo nos dados gravados. O texto original mistura português com inglês e foi limpo apenas o mínimo para ficar legível. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",stock,stock_movements,afeta vários utilizadores,,data_issue,high,technical_support,
SIS-2026-0049,TextilMinho,textile,Saldo do armazém não bate com histórico,"O cliente já tentou validar filtros e datas; o problema parece estar mesmo nos dados gravados. Já reiniciaram sessão, browser e posto, sem conclusão clara. Há quem diga que é só configuração; outros acham que começou depois da última atualização. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",stock,stock_movements,precisamos ainda hoje; deadline hoje,,data_issue,high,technical_support,
SIS-2026-0050,AlfaForms,forms and labels,Dúvida sobre nota de crédito,"O cliente quer corrigir um documento já emitido e não percebe a diferença entre anulação e nota de crédito. Ainda não anexaram prints, mas podem enviar. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",invoicing,credit_notes,precisamos ainda hoje,client_misunderstanding / low / support_level_1,client_misunderstanding,high,support_level_1,
SIS-2026-0051,TextilMinho,textile,Feature request for management report,"Não é correção nem parametrização urgente; é melhoria com valor de negócio se entrar em backlog. O texto original mistura português com inglês e foi limpo apenas o mínimo para ficar legível. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. Não há bloqueio operacional imediato; o valor aqui é mais de conveniência ou prevenção.",reporting,custom_reports,quando possível,configuration_request / medium / technical_support,feature_request,low,account_management,
SIS-2026-0052,TextilMinho,textile,Treino sobre quadro de planeamento,"Os planeadores usam o quadro há meses, mas com a mudança de responsável surgiram dúvidas sobre prioridades, cores e bloqueios. O cliente pediu retorno curto mesmo que ainda não haja solução final. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",production,scheduling,há workaround parcial,configuration_request / medium / technical_support,training_needed,medium,training_consulting,
SIS-2026-0053,PrintWorks Porto,printing,CRM fecha quando anexamos ocorrência,"O cliente não chama isto urgente, mas já perdeu registos e está a duplicar trabalho manualmente. Existe suspeita de configuração, embora nada conclusivo. Se possível, manter com Carla Sousa porque já conhece o contexto do cliente. Há alguma sensibilidade comercial, mas sem dramatização no pedido. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",CRM,complaints,convém validar com alguma brevidade; fecho do mês,client_misunderstanding / medium / support_level_1,software_bug,medium,technical_support,Carla Sousa
SIS-2026-0054,FibraSul,paper converting,CRM precisa de workflow diferente,"Não há erro, apenas uma necessidade de processo mais fino. O cliente insiste que queria isto antes da próxima reunião de vendas. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",CRM,commercial_pipeline,convém validar com alguma brevidade,client_misunderstanding / medium / support_level_1,configuration_request,medium,technical_support,
SIS-2026-0055,NorteCartao,packaging,Problema transversal no processo de login,"Pode parecer permissão ou suporte simples, mas a escala do problema aponta para algo mais transversal. Pode ser necessário validar em ambiente real e não só em teste. Se possível, manter com Rui Costa porque já conhece o contexto do cliente. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. Existe impacto relevante no dia de trabalho, embora ainda haja algum contorno manual.",user_permissions,password_policy,afeta vários utilizadores,software_bug / high / development,infrastructure_problem,high,infrastructure,Rui Costa
SIS-2026-0056,LusoPack Embalagens,packaging,Dúvida no dashboard comercial,"Ainda assim, a descrição não é cristalina e vale validar antes de assumir erro do cliente. A equipa insiste que o problema é novo, mas não quantifica bem quando começou. Não há bloqueio operacional imediato; o valor aqui é mais de conveniência ou prevenção.",reporting,dashboards,pode esperar,software_bug / medium / technical_support,client_misunderstanding,low,support_level_1,
SIS-2026-0057,MetalLabel,industrial manufacturing,Vários utilizadores sem conseguir entrar,"Desde cerca das 08:30 vários utilizadores recebem erro no login ou ficam presos depois de autenticar. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. O impacto reportado é imediato e o cliente diz que o processo principal ficou parado.",general,login,produção parada,infrastructure_problem / high / infrastructure,infrastructure_problem,critical,infrastructure,
SIS-2026-0058,Braga Print House,printing,Precisa análise - Dados de faturação ficaram incoerentes,"O risco aqui é repetir envio ou parar faturação por excesso de prudência. Há alguma sensibilidade comercial, mas sem dramatização no pedido. O impacto reportado é imediato e o cliente diz que o processo principal ficou parado.",invoicing,e_invoice,produção parada,software_bug / high / development,data_issue,critical,technical_support,
SIS-2026-0059,TextilMinho,textile,Precisa análise - Ambiente muito lento desde esta manhã,"Pode ser capacidade, base de dados, rede ou tarefa de fundo, por isso a triagem precisa de ser prudente. O pedido entrou com pouco contexto e alguma pressa. Há alguma sensibilidade comercial, mas sem dramatização no pedido. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",general,performance,precisamos esta semana,software_bug / high / development,infrastructure_problem,medium,infrastructure,
SIS-2026-0060,PlastiCentro,plastics,Pedido de parametrização no cálculo de custos,"Não se trata de erro; o pedido é alinhar o sistema com prática interna que mudou no trimestre. Já reiniciaram sessão, browser e posto, sem conclusão clara. O cliente pediu retorno curto mesmo que ainda não haja solução final. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",production,cost_calculation,cliente à espera,configuration_request / medium / technical_support,configuration_request,high,technical_support,
SIS-2026-0061,PrintWorks Porto,printing,Erro ao descarregar mapa para Excel,"O dashboard apresenta valores no ecrã, mas o ficheiro exportado fica vazio ou com colunas trocadas. O pedido entrou com pouco contexto e alguma pressa. Há alguma sensibilidade comercial, mas sem dramatização no pedido. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",reporting,excel_export,precisamos ainda hoje,,software_bug,high,development,
SIS-2026-0062,FibraSul,paper converting,Gostávamos de relatório extra para direção,"O processo atual funciona, mas a direção queria reduzir trabalho manual na preparação de um mapa mensal. Podemos recolher base de dados de exemplo se for preciso, mas ainda não foi pedido. Se fizer sentido, podem manter o ticket com análise humana antes de encaminhar. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",reporting,custom_reports,há workaround parcial,configuration_request / medium / technical_support,feature_request,medium,account_management,Carla Sousa
SIS-2026-0063,FlexoPrime,printing,Ticket de qualidade não guarda comentário,"Há dúvida se o anexo específico influencia, embora o padrão pareça de aplicação e não de processo. O cliente pediu retorno curto mesmo que ainda não haja solução final. Não é um bloqueio total; mesmo assim já está a consumir tempo e retrabalho.",CRM,complaints,impacto moderado; sem urgência,,software_bug,medium,technical_support,Marta Silva
SIS-2026-0064,Cartonagem Douro,packaging,Ao fechar venda o documento não sai,"A operação passa pelas linhas e cálculo do IVA, depois devolve erro e não gera número. O cliente está a segurar expedições à espera disto. Já reiniciaram sessão, browser e posto, sem conclusão clara. Se precisarem de mais detalhe, o contacto principal está disponível de tarde. O cliente consegue continuar de forma limitada, mas com custo operacional claro.",invoicing,invoice_emission,fecho do mês,data_issue / high / technical_support,software_bug,high,development,Rui Costa
SIS-2026-0065,EuroPackaging PT,packaging,Pedido de formação sobre validação fiscal,"Por envolver faturação, às vezes estes tickets soam mais urgentes do que realmente são. Pode ser necessário validar em ambiente real e não só em teste. Há alguma sensibilidade comercial, mas sem dramatização no pedido. O impacto é real, mas a equipa ainda consegue trabalhar com alguma contenção.",invoicing,tax_validation,convém validar com alguma brevidade,,training_needed,medium,training_consulting,
